meeting_key,race_name,driver_number,driver_name,practice_1,practice_2,practice_3,sprint_quali,sprint_race,qualifying,race
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,81,Oscar PIASTRI,17,12,15,,,10,13
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,22,Yuki TSUNODA,14,17,9,,,15,12
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,11,Sergio PEREZ,2,4,2,,,11,4
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,44,Lewis HAMILTON,12,11,3,,,5,2
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,10,Pierre GASLY,5,10,18,,,4,10
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,18,Lance STROLL,15,18,13,,,6,6
1211,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,1,Max VERSTAPPEN,1,1,1,,,1,1
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,14,Fernando ALONSO,3,4,3,,,3,2
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,16,Charles LECLERC,11,5,2,,,11,4
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,63,George RUSSELL,20,2,15,,,5,19
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,23,Alexander ALBON,16,17,14,,,10,7
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,27,Nico HULKENBERG,8,20,11,,,2,15
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,21,Nyck DE VRIES,12,16,16,,,18,18
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,24,ZHOU Guanyu,9,14,18,,,20,16
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,77,Valtteri BOTTAS,1,7,9,,,15,10
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,31,Esteban OCON,18,18,19,,,6,8
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,20,Kevin MAGNUSSEN,7,12,4,,,14,17
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,55,Carlos SAINZ,10,3,5,,,8,5
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,4,Lando NORRIS,14,13,13,,,7,13
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,2,Logan SARGEANT,17,19,20,,,19,20
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,81,Oscar PIASTRI,6,11,12,,,9,11
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,22,Yuki TSUNODA,13,15,8,,,16,14
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,11,Sergio PEREZ,4,8,17,,,12,6
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,44,Lewis HAMILTON,19,1,10,,,4,3
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,10,Pierre GASLY,15,10,6,,,17,12
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,18,Lance STROLL,2,9,7,,,13,9
1212,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,1,Max VERSTAPPEN,5,6,1,,,1,1
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,14,Fernando ALONSO,,,,7,5,7,6
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,16,Charles LECLERC,,,,6,12,2,2
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,63,George RUSSELL,,,,15,8,11,8
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,23,Alexander ALBON,,,,11,13,10,11
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,27,Nico HULKENBERG,,,,4,6,8,20
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,21,Nyck DE VRIES,,,,14,17,20,15
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,24,ZHOU Guanyu,,,,16,19,17,14
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,77,Valtteri BOTTAS,,,,19,20,14,16
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,31,Esteban OCON,,,,9,7,12,12
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,20,Kevin MAGNUSSEN,,,,10,14,19,19
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,55,Carlos SAINZ,,,,5,3,3,4
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,4,Lando NORRIS,,,,3,9,4,5
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,2,Logan SARGEANT,,,,20,18,18,13
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,81,Oscar PIASTRI,,,,17,11,13,17
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,22,Yuki TSUNODA,,,,13,16,16,18
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,11,Sergio PEREZ,,,,2,2,15,3
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,44,Lewis HAMILTON,,,,18,10,5,7
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,10,Pierre GASLY,,,,12,15,9,9
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,18,Lance STROLL,,,,8,4,6,10
1213,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,1,Max VERSTAPPEN,,,,1,1,1,1
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,14,Fernando ALONSO,4,10,3,,,9,7
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,16,Charles LECLERC,5,20,1,,,4,9
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,63,George RUSSELL,14,12,9,,,6,5
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,23,Alexander ALBON,3,3,2,,,8,8
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,27,Nico HULKENBERG,20,7,19,,,11,13
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,21,Nyck DE VRIES,11,19,11,,,19,17
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,24,ZHOU Guanyu,18,11,20,,,18,15
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,77,Valtteri BOTTAS,15,16,18,,,15,12
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,31,Esteban OCON,6,13,16,,,13,20
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,20,Kevin MAGNUSSEN,19,17,15,,,20,19
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,55,Carlos SAINZ,7,2,6,,,5,10
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,4,Lando NORRIS,8,14,12,,,2,2
